country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
DNK;2022;GTR;GNS_DEF_71-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LLS;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;GNS;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;PS;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;FPO;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;FPO;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2017;OTB;PTM_SPF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2014;NO;FOO_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2018;GTR;GNS_DEF_32-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;FPN;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;OTM;OTB_CRU_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2017;GNS;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;OTM;OTB_MCD_90-99_1_180;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTB;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2018;OTB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;LHP;NK;#VALUE!;;;;;;;;;;;;;;
FRA;2016;NO;FOO_CRU_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;GND;PTM_SPF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GNS;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LLS;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2014;GTR;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LLS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;SV;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2013;PTM;OTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LHP;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2013;GTR;GNS_DEF_90-109_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2020;SDN;SSC_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;OTB;PTB_MPD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;GTR;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2018;OTM;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2023;OTB;OTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LTL;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2018;GTR;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LHM;FPO_FIF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTR;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2015;HMD;HMS_SWD_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LHM;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2020;LNS;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2017;LNB;LN_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2017;FYK;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;FPO;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2020;HMD;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
EST;2013;OTB;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LLS;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;GTR;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;PS;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2021;LHP;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;LHP;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;GNS;PTM_SPF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;FPO;FPN_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;LLS;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LHM;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;OTM;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GTN;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GNS;LHM_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2017;FPN;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;PTB;OTB_DEF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2020;GND;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2018;LNB;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;GTR;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;FPO;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;PTB;OTB_MCD_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;PS;GTR_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;GNS;GTR_DEF_80-89_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;GTR;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LLS;MIS_DES_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;LLS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GND;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
POL;2019;GTR;GNS_ANA_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;GNS;GTR_DEF_80-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;SDN;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;GNC;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;TBB;OTB_CRU_32-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;GTR;GNS_DEF_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LTL;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;OTM;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2022;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;GTR;LHM_DWS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;DRB;HMD_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;GTR;GNS_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2016;PTB;OTB_DWS_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;PS;MIS_DES_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;PS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;FPO;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;LHP;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2014;GNS;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
GRC;2014;GNS;SV_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;LLS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LHM;NK;#VALUE!;;;;;;;;;;;;;;
IOM;2020;LLS;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2014;FPO;GNS_DEF_80-89_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2017;LNS;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LLS;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;OTB;OTM_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LHM;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;DRB;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GTR;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2014;SDN;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LHP;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;LLS;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GNS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2015;FPO;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LHM;LTL_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2014;SV;SB_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2014;FPN;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;FPO;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LHP;MIS_DES_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GTN;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;LHP;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
NIR;2014;SV;SSC_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
IOM;2017;LLS;LLD_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;GNS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LLS;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
GRC;2013;PS;SV_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2013;OTB;OTM_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;GTR;LH_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;GNC;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;OTM;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LHP;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;FPO;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GND;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;DRB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;GTR;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LTL;GTR_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2021;NO;FOO_CRU_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;OTM;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2020;GNS;PTM_SPF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;DRB;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2019;GTR;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;FPO;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LTL;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;FPO;OTB_MPD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;OTB;OTM_SPF_32-89_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;FPO;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GNS;GTR_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;GTR;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LHP;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;DRB;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2016;FPO;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;GTR;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2023;FPN;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2016;NO;FOO_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LHP;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;GTN;GNS_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LTL;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;GNS;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;LLS;LLD_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2020;GNC;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;GND;GNS_CRU_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;FPO;GTR_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;OTT;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;LLS;GNS_DEF_80-89_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;NO;MIS_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LLS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LLS;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;OTT;OTB_MCD_90-99_1_300;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LA;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2014;LNB;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;PS;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LLS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;GNS;LLS_DWS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LHP;LHM_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LTL;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;GTR;GNS_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;OTM;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2016;PTB;OTB_MPD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2014;LHP;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2023;PTM;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LHM;LTL_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2012;GTN;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2022;LNS;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;FPO;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;GTN;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;PS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LHP;LH_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2023;GTR;GNS_DEF_50-70_0_0;#VALUE!;;;;;;;;;;;;;;
ROU;2013;NO;DIV_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2017;LHM;LHP_FIF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;HMD;DRB_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;PTM;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;LLS;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
ESP;2019;PS;OTB_MCD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LLS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GTR;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;LTL;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GNS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;GTR;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2021;NO;FOO_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LHM;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2019;NK;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;OTM;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LTL;LHM_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;NK;LH_FIF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;GTR;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LLS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LLS;LHM_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;SV;SX_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2015;GTR;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;FPO;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;FPO;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LHM;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2014;OTT;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2013;OTT;OTB_MCD_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;DRB;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2017;GTR;FPN_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;TBB;PTB_MPD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2016;GTR;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2019;LHM;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2018;GNC;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;PS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LLS;LHM_DWS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;PTB;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTR;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;PTB;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2013;GTR;GNS_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;GTR;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2016;LLS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;GTN;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;GNC;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;GNS;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;GTR;OTB_MCD_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LHP;LHM_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;OTB;GNS_CRU_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LTL;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;OTB;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LHP;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;OTT;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;SDN;NK;#VALUE!;;;;;;;;;;;;;;
ENG;2017;OTB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;PS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;DRB;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;GNS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;FPO;GTR_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LLD;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LTL;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2016;NK;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;OTM;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;LLS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;FPO;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;DRB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2013;GNS;PTM_SPF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;NO;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2021;GND;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;GNC;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GTN;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2013;FPO;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;FPO;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2013;OTM;PTM_SPF_32-39_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;OTB;TBB_DEF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2016;GNS;FPN_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2015;SB;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;FPO;LTL_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;OTT;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2019;DRB;NK;#VALUE!;;;;;;;;;;;;;;
SCO;2014;DRB;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2023;OTB;OTM_SPF_32-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;GTR;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LLD;NK;#VALUE!;;;;;;;;;;;;;;
IRL;2019;OTM;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;FPO;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;OTB;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GTR;GNS_DEF_80-89_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;GNS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;NO;MIS_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GNS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;FPO;DRB_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2022;GEF;GES_CAT_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LNB;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LHM;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;PTB;OTB_MCD_90-99_1_300;#VALUE!;;;;;;;;;;;;;;
ESP;2019;PS;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
FIN;2022;OTM;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LHP;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTN;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;OTM;PTM_SPF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2020;GTN;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2019;OTM;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;FPO;PTM_SPF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;GNS;PTM_SPF_32-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;GTN;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LHP;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;OTM;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;LLS;LLD_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2019;OTT;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;NK;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LLS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;HMD;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2017;FPO;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;PTB;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2019;GTR;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2014;GTR;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
