country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
DNK;2022;SDN;GNS_CRU_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2018;PTB;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
PRT;2019;LLS;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GNC;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTT;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LLD;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2015;PTM;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;OTB;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;GTR;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;OTB;TBB_CRU_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;PS;OTB_MCD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;HMD_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;GTR;GNS_SPF_32-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;FPO;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;GTR_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LA;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;GTR;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2013;GNS;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
GRC;2020;GTR;SV_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;SV;SX_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;PTB;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LHP;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2019;OTM;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;NO;PS_SPF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;FPO;PTM_SPF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2018;GTR;GNS_DEF_90-109_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2012;GNS;PTM_SPF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;OTB;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GTR;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;HMD;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;TBB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;GND;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GTN;HMD_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LLS;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;PS;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2022;GNC;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;GTR;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;OTM;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
